YEAR,JURISDICTION,AGE_GROUP,LOCATION,DETECTION_METHOD,FINES,ARRESTS,CHARGES,POPULATION,FINES_PER_100K,ARRESTS_PER_100K,CHARGES_PER_100K
2024,QLD,17-25,Others,Camera,9694,0,0,653077,1484.357893,0,0
2024,QLD,17-25,Others,Police issued,757,0,0,653077,115.912825,0,0
2024,QLD,26-39,Others,Camera,27876,0,0,1103317,2526.563082,0,0
2024,QLD,26-39,Others,Police issued,1322,0,0,1103317,119.8205049,0,0
2024,QLD,40-64,Others,Camera,28641,0,0,1715289,1669.74778,0,0
2024,QLD,40-64,Others,Police issued,849,0,0,1715289,49.49603245,0,0
2024,QLD,65 and over,Others,Camera,3701,0,0,958858,385.9799887,0,0
2024,QLD,65 and over,Others,Police issued,88,0,0,958858,9.177584168,0,0
2024,SA,0-16,Regional,Police issued,1,0,0,356679,0.280364137,0,0
2024,SA,0-16,Urban,Police issued,1,0,0,356679,0.280364137,0,0
2024,SA,17-25,Others,Police issued,19,0,0,207401,9.160997295,0,0
2024,SA,17-25,Regional,Police issued,96,0,0,207401,46.28714423,0,0
2024,SA,17-25,Urban,Police issued,1024,0,0,207401,493.7295384,0,0
2024,SA,26-39,Others,Police issued,26,0,0,360598,7.210245204,0,0
2024,SA,26-39,Regional,Police issued,177,0,0,360598,49.08513081,0,0
2024,SA,26-39,Urban,Police issued,1575,0,0,360598,436.7744691,0,0
2024,SA,40-64,Others,Police issued,25,0,0,572938,4.363473884,0,0
2024,SA,40-64,Regional,Police issued,178,0,0,572938,31.06793405,0,0
2024,SA,40-64,Urban,Police issued,1280,0,0,572938,223.4098628,0,0
2024,SA,65 and over,Others,Police issued,3,0,0,380395,0.788653899,0,0
2024,SA,65 and over,Regional,Police issued,25,0,0,380395,6.572115827,0,0
2024,SA,65 and over,Urban,Police issued,171,0,0,380395,44.95327226,0,0
2024,TAS,17-25,Others,Camera,113,0,0,56224,200.9817871,0,0
2024,TAS,17-25,Others,Police issued,380,0,10,56224,675.8679567,0,17.78599886
2024,TAS,26-39,Others,Camera,502,0,0,109129,460.0060479,0,0
2024,TAS,26-39,Others,Police issued,618,0,16,109129,566.3022661,0,14.66154734
2024,TAS,40-64,Others,Camera,583,0,0,177699,328.0828817,0,0
2024,TAS,40-64,Others,Police issued,442,0,6,177699,248.7352208,0,3.37649621
2024,TAS,65 and over,Others,Camera,86,0,0,125675,68.43047543,0,0
2024,TAS,65 and over,Others,Police issued,91,0,0,125675,72.40899145,0,0
2024,VIC,0-16,Others,Camera,0,0,0,1380684,0,0,0
2024,VIC,0-16,Others,Police issued,7,0,0,1380684,0.506995084,0,0
2024,VIC,0-16,Regional,Camera,0,0,0,1380684,0,0,0
2024,VIC,0-16,Urban,Camera,0,0,0,1380684,0,0,0
2024,VIC,17-25,Others,Camera,0,0,0,827580,0,0,0
2024,VIC,17-25,Others,Police issued,2330,0,0,827580,281.5437782,0,0
2024,VIC,17-25,Regional,Camera,334,0,0,827580,40.35863602,0,0
2024,VIC,17-25,Urban,Camera,2028,0,0,827580,245.0518379,0,0
2024,VIC,26-39,Others,Camera,0,0,0,1515318,0,0,0
2024,VIC,26-39,Others,Police issued,5558,0,0,1515318,366.7876974,0,0
2024,VIC,26-39,Regional,Camera,1349,0,0,1515318,89.02421802,0,0
2024,VIC,26-39,Urban,Camera,10193,0,0,1515318,672.6640877,0,0
2024,VIC,40-64,Others,Camera,0,0,0,2091099,0,0,0
2024,VIC,40-64,Others,Police issued,4448,0,0,2091099,212.7111151,0,0
2024,VIC,40-64,Regional,Camera,1952,0,0,2091099,93.3480433,0,0
2024,VIC,40-64,Urban,Camera,12729,0,0,2091099,608.7229729,0,0
2024,VIC,65 and over,Others,Camera,0,0,0,1164038,0,0,0
2024,VIC,65 and over,Others,Police issued,534,0,0,1164038,45.87479103,0,0
2024,VIC,65 and over,Regional,Camera,341,0,0,1164038,29.29457629,0,0
2024,VIC,65 and over,Urban,Camera,2093,0,0,1164038,179.8051266,0,0
2024,WA,0-16,Others,Others,0,0,2,616892,0,0,0.324205858
2024,WA,0-16,Others,Police issued,1,0,0,616892,0.162102929,0,0
2024,WA,17-25,Others,Others,0,1,47,332504,0,0.300748262,14.1351683
2024,WA,17-25,Others,Police issued,804,0,0,332504,241.8016024,0,0
2024,WA,26-39,Others,Others,0,3,89,622888,0,0.481627516,14.28828297
2024,WA,26-39,Others,Police issued,1655,0,0,622888,265.6978462,0,0
2024,WA,40-64,Others,Others,0,0,63,912829,0,0,6.901621224
2024,WA,40-64,Others,Police issued,1138,0,0,912829,124.6673802,0,0
2024,WA,65 and over,Others,Others,0,0,2,479965,0,0,0.416697051
2024,WA,65 and over,Others,Police issued,133,0,0,479965,27.71035388,0,0
